id;category;title;Заголовок;"Meta keywords";"Meta description";price;"Старая цена";sku;Наличие;"Бесплатная доставка";video;Акция;Новинка;Актуально;"Хит продаж";"Это популярно";url_old;brand
10328;"Автокресла (Группа 0-1)";"Автокресло  Bebe Confort Opal";"Автокресло  Bebe Confort Opal цена, купить, отзывы.";"Автокресло  Bebe Confort Opal купить в Днепропетровске, цена, описание, фото. Автокресло  Bebe Confort Opal обзоры, статьи, Babysmile.";"Автокресло  Bebe Confort Opal - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";2920;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-bebe-confort-opal;"Bebe Confort"
8290;"Автокресла (Группа 0-1)";"Автокресло  Cosmo Furia Ferrari";"Автокресло  Cosmo Furia Ferrari цена, купить, отзывы.";"Автокресло  Cosmo Furia Ferrari купить в Днепропетровске, цена, описание, фото. Автокресло  Cosmo Furia Ferrari обзоры, статьи, Babysmile.";"Автокресло  Cosmo Furia Ferrari - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1450;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/Avtokreslo_Cosmo_Furia_Ferrari;Nania
8324;"Автокресла (Группа 0-1)";"Автокресло  Driver SP";"Автокресло  Driver SP цена, купить, отзывы.";"Автокресло  Driver SP купить в Днепропетровске, цена, описание, фото. Автокресло  Driver SP обзоры, статьи, Babysmile.";"Автокресло  Driver SP - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";640;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/Avtokreslo_Driver_SP;Nania
10698;"Автокресла (Группа 0-1)";"Автокресло Baby Shield Welldon King Penguin";"Автокресло Baby Shield Welldon King Penguin цена, купить, отзывы.";"Автокресло Baby Shield Welldon King Penguin купить в Днепропетровске, цена, описание, фото. Автокресло Baby Shield Welldon King Penguin обзоры, статьи, Babysmile.";"Автокресло Baby Shield Welldon King Penguin - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";850;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-baby-shield-welldon-king-penguin-10698;"Baby Shield"
10332;"Автокресла (Группа 0-1)";"Автокресло Bebe Confort Iseos Neo+ 2012";"Автокресло Bebe Confort Iseos Neo+ 2012 цена, купить, отзывы.";"Автокресло Bebe Confort Iseos Neo+ 2012 купить в Днепропетровске, цена, описание, фото. Автокресло Bebe Confort Iseos Neo+ 2012 обзоры, статьи, Babysmile.";"Автокресло Bebe Confort Iseos Neo+ 2012 - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";2180;0;;1;1;http://www.youtube.com/embed/q_YXYsvPlE8;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-bebe-confort-iseos-neo--2012-10332;"Bebe Confort"
15343;"Автокресла (Группа 0-1)";"Автокресло Bebe Confort Milofix";"Автокресло Bebe Confort Milofix - купить - цена - описание - днепропетровск";;;2750;0;;1;1;;0;1;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-bebe-confort-milofix-15343;"Bebe Confort"
9368;"Автокресла (Группа 0-1)";"Автокресло Bellelli Leonardo";"Автокресло Bellelli Leonardo цена, купить, отзывы.";"Автокресло Bellelli Leonardo купить в Днепропетровске, цена, описание, фото. Автокресло Bellelli Leonardo обзоры, статьи, Babysmile.";"Автокресло Bellelli Leonardo - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";2300;0;;1;1;http://www.youtube.com/embed/fnILCZ3RbOk;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/Avtokreslo-Bellelli-Leonardo;Bellelli
12545;"Автокресла (Группа 0-1)";"Автокресло Bertoni Alpha";"Автокресло Bertoni Alpha цена, купить, отзывы.";"Автокресло Bertoni Alpha купить в Днепропетровске, цена, описание, фото. Автокресло Bertoni Alpha обзоры, статьи, Babysmile.";"Автокресло Bertoni Alpha - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";665;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-bertoni-alpha-12545;Bertoni
12549;"Автокресла (Группа 0-1)";"Автокресло Bertoni Beta";"Автокресло Bertoni Beta цена, купить, отзывы.";"Автокресло Bertoni Beta купить в Днепропетровске, цена, описание, фото. Автокресло Bertoni Beta обзоры, статьи, Babysmile.";"Автокресло Bertoni Beta - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";669;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-bertoni-beta-12549;Bertoni
12562;"Автокресла (Группа 0-1)";"Автокресло Bertoni Concord";"Автокресло Bertoni Concord цена, купить, отзывы.";"Автокресло Bertoni Concord купить в Днепропетровске, цена, описание, фото. Автокресло Bertoni Concord обзоры, статьи, Babysmile.";"Автокресло Bertoni Concord - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";725;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-bertoni-concord-12562;Bertoni
12586;"Автокресла (Группа 0-1)";"Автокресло Bertoni Grand Prix";"Автокресло Bertoni Grand Prix цена, купить, отзывы.";"Автокресло Bertoni Grand Prix купить в Днепропетровске, цена, описание, фото. Автокресло Bertoni Grand Prix обзоры, статьи, Babysmile.";"Автокресло Bertoni Grand Prix - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";735;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-bertoni-grand-prix-12586;Bertoni
12610;"Автокресла (Группа 0-1)";"Автокресло Bertoni Mondeo";"Автокресло Bertoni Mondeo цена, купить, отзывы.";"Автокресло Bertoni Mondeo купить в Днепропетровске, цена, описание, фото. Автокресло Bertoni Mondeo обзоры, статьи, Babysmile.";"Автокресло Bertoni Mondeo - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";735;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-bertoni-mondeo-12610;Bertoni
8292;"Автокресла (Группа 0-1)";"Автокресло Cosmo Furia Ferrari Isofix";"Автокресло Cosmo Furia Ferrari Isofix цена, купить, отзывы.";"Автокресло Cosmo Furia Ferrari Isofix купить в Днепропетровске, цена, описание, фото. Автокресло Cosmo Furia Ferrari Isofix обзоры, статьи, Babysmile.";"Автокресло Cosmo Furia Ferrari Isofix - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1800;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-cosmo-furia-ferrari-isofix-8292;Nania
8339;"Автокресла (Группа 0-1)";"Автокресло Cosmo SP  Isofix";"Автокресло Cosmo SP  Isofix цена, купить, отзывы.";"Автокресло Cosmo SP  Isofix купить в Днепропетровске, цена, описание, фото. Автокресло Cosmo SP  Isofix обзоры, статьи, Babysmile.";"Автокресло Cosmo SP  Isofix - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1480;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-cosmo-sp--isofix-8339;Nania
6799;"Автокресла (Группа 0-1)";"Автокресло Espiro Optima";"Автокресло Espiro Optima цена, купить, отзывы.";"Автокресло Espiro Optima купить в Днепропетровске, цена, описание, фото. Автокресло Espiro Optima обзоры, статьи, Babysmile.";"Автокресло Espiro Optima - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1349;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/avtokreslo-espiro-optima-6799;Espiro
9845;"Автокресла (Группа 0-1)";"Автокресло First Class";"Автокресло First Class цена, купить, отзывы.";"Автокресло First Class купить в Днепропетровске, цена, описание, фото. Автокресло First Class обзоры, статьи, Babysmile.";"Автокресло First Class - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";3250;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0-1/britax-first-class;Britax
